Component,Source,CMIPModel,Run,Scenario,startyr,endyr,Tavg,dSdt
steric,CMIP6_RB,GISS-E2-1-G,r5i1p1f1_gn,historical,1900,1950,-0.5881949904474482,0.265283509796741
steric,CMIP6_RB,GISS-E2-1-G,r6i1p1f1_gn,historical,1900,1950,-0.6108734915420655,0.2305772444781135
steric,CMIP6_RB,GISS-E2-1-G,r7i1p1f1_gn,historical,1900,1950,-0.5968417997945608,0.21581713358561197
steric,CMIP6_RB,GISS-E2-1-G,r8i1p1f1_gn,historical,1900,1950,-0.6730602714811766,0.22977941176470587
steric,CMIP6_RB,GISS-E2-1-G,r9i1p1f1_gn,historical,1900,1950,-0.6306000834781003,0.16236148161046646
steric,CMIP6_RB,GISS-E2-1-G-CC,r1i1p1f1_gn,historical,1900,1950,-0.82354485863425,0.16475505454867495
steric,CMIP6_RB,HadGEM3-GC31-LL,r1i1p1f3_gn,historical,1900,1950,-0.7680726473384425,0.3805721881342869
steric,CMIP6_RB,HadGEM3-GC31-LL,r2i1p1f3_gn,historical,1900,1950,-0.8924040299204421,0.18111084956748813
steric,CMIP6_RB,HadGEM3-GC31-LL,r3i1p1f3_gn,historical,1900,1950,-0.5524815098250997,0.2473319932526233
steric,CMIP6_RB,HadGEM3-GC31-LL,r4i1p1f3_gn,historical,1900,1950,-0.5129693796531569,0.16196258395325905
steric,CMIP6_RB,HadGEM3-GC31-LL,r5i1p1f3_gn,historical,1900,1950,-0.4897453281246271,0.4811006433823529
steric,CMIP6_RB,HadGEM3-GC31-MM,r1i1p1f3_gn,historical,1900,1950,-0.6283823034087845,0.4799038756127451
steric,CMIP6_RB,HadGEM3-GC31-MM,r2i1p1f3_gn,historical,1900,1950,-0.6184052646202076,0.566071117625517
