,model,run,scenario,startyr,endyr,Tavg,dSdt,r,i,p,f,model_key,probability_weight,counts
129,CanESM5,r4i1p1f1_gn,historical,1950,2000,-0.8751506462050997,0.000412190780043602,4,1,1,1,CanESM5:p1:1950:2000:historical,0.6228991975719911,35
130,CanESM5,r4i1p2f1_gn,historical,1950,2000,-0.7612913660148024,0.000493570938706398,4,1,2,1,CanESM5:p1:1950:2000:historical,0.4713047891454392,35
131,CanESM5,r5i1p1f1_gn,historical,1950,2000,-0.7957154112411331,0.000537109375,5,1,1,1,CanESM5:p1:1950:2000:historical,0.4635417521098657,35
132,CanESM5,r5i1p2f1_gn,historical,1950,2000,-0.9322710607146404,0.000455322265625,5,1,2,1,CanESM5:p1:1950:2000:historical,0.47560552187911986,35
133,CanESM5,r6i1p1f1_gn,historical,1950,2000,-0.7934593923787361,0.000528157539665699,6,1,1,1,CanESM5:p1:1950:2000:historical,0.0,35
134,CanESM5,r6i1p2f1_gn,historical,1950,2000,-0.8158451991837978,0.0004931640625,6,1,2,1,CanESM5:p1:1950:2000:historical,0.4226467726559676,35
135,CanESM5,r7i1p1f1_gn,historical,1950,2000,-0.7954082642216349,0.000535481758415699,7,1,1,1,CanESM5:p1:1950:2000:historical,0.0,35
136,CanESM5,r7i1p2f1_gn,historical,1950,2000,-0.8169559409274143,0.000552571602165699,7,1,2,1,CanESM5:p1:1950:2000:historical,0.47838922131821365,35
137,CanESM5,r8i1p1f1_gn,historical,1950,2000,-0.9569349429900172,0.000457763671875,8,1,1,1,CanESM5:p1:1950:2000:historical,0.6402702432630811,35
138,CanESM5,r8i1p2f1_gn,historical,1950,2000,-0.7685404204605106,0.00052734375,8,1,2,1,CanESM5:p1:1950:2000:historical,0.3870952412069563,35
139,CanESM5,r9i1p1f1_gn,historical,1950,2000,-0.7570699563234484,0.000520833320915699,9,1,1,1,CanESM5:p1:1950:2000:historical,0.0,35
140,CanESM5,r9i1p2f1_gn,historical,1950,2000,-0.9252172800563584,0.000291748046875,9,1,2,1,CanESM5:p1:1950:2000:historical,0.5556320477880918,35
141,CanESM5,r10i1p1f1_gn,historical,1992,2014,-0.10720667220221004,0.001681241122159091,10,1,1,1,CanESM5:p1:1992:2014:historical,0.0,35
142,CanESM5,r10i1p2f1_gn,historical,1992,2014,-0.1021596181269615,0.001681241122159091,10,1,2,1,CanESM5:p1:1992:2014:historical,0.47671554418524115,35
143,CanESM5,r11i1p1f1_gn,historical,1992,2014,-0.07033870105152573,0.0015610204162922773,11,1,1,1,CanESM5:p1:1992:2014:historical,0.0,35
144,CanESM5,r12i1p1f1_gn,historical,1992,2014,-0.06611296649532505,0.00175244886089455,12,1,1,1,CanESM5:p1:1992:2014:historical,0.0,35
145,CanESM5,r13i1p1f1_gn,historical,1992,2014,-0.10012352775112277,0.001701586287130009,13,1,1,1,CanESM5:p1:1992:2014:historical,0.0,35
146,CanESM5,r14i1p1f1_gn,historical,1992,2014,-0.08716258455984871,0.0018440014259381726,14,1,1,1,CanESM5:p1:1992:2014:historical,0.0,35
147,CanESM5,r15i1p1f1_gn,historical,1992,2014,-0.1018210315955912,0.0015129321678118274,15,1,1,1,CanESM5:p1:1992:2014:historical,0.0,35
148,CanESM5,r16i1p1f1_gn,historical,1992,2014,-0.06866619749092706,0.001685864884744991,16,1,1,1,CanESM5:p1:1992:2014:historical,0.0,35
149,CanESM5,r17i1p1f1_gn,historical,1992,2014,-0.07898568611858536,0.0016470243307677185,17,1,1,1,CanESM5:p1:1992:2014:historical,0.0,35
150,CanESM5,r18i1p1f1_gn,historical,1992,2014,-0.0853306487632608,0.0017237808894027364,18,1,1,1,CanESM5:p1:1992:2014:historical,0.0,35
151,CanESM5,r19i1p1f1_gn,historical,1992,2014,-0.09505679202129612,0.001645174893465909,19,1,1,1,CanESM5:p1:1992:2014:historical,0.0,35
152,CanESM5,r1i1p1f1_gn,historical,1992,2014,-0.08527174833250227,0.0017015861177986321,1,1,1,1,CanESM5:p1:1992:2014:historical,0.5111784829582484,35
153,CanESM5,r1i1p2f1_gn,historical,1992,2014,-0.09184437940854197,0.0016618208451704545,1,1,2,1,CanESM5:p1:1992:2014:historical,0.4653912433877927,35
154,CanESM5,r20i1p1f1_gn,historical,1992,2014,-0.08776946429162535,0.0017145330255681818,20,1,1,1,CanESM5:p1:1992:2014:historical,0.0,35
155,CanESM5,r21i1p1f1_gn,historical,1992,2014,-0.0915681280544618,0.0016978870738636365,21,1,1,1,CanESM5:p1:1992:2014:historical,0.0,35
156,CanESM5,r22i1p1f1_gn,historical,1992,2014,-0.08448050373885962,0.0016701438210227273,22,1,1,1,CanESM5:p1:1992:2014:historical,0.0,35
157,CanESM5,r23i1p1f1_gn,historical,1992,2014,-0.07886082113054728,0.0015471487898718224,23,1,1,1,CanESM5:p1:1992:2014:historical,0.0,35
158,CanESM5,r24i1p1f1_gn,historical,1992,2014,-0.08513442879120703,0.0016932631419463592,24,1,1,1,CanESM5:p1:1992:2014:historical,0.0,35
159,CanESM5,r25i1p1f1_gn,historical,1992,2014,-0.07282582557428441,0.0017182320695031776,25,1,1,1,CanESM5:p1:1992:2014:historical,0.0,35
160,CanESM5,r2i1p1f1_gn,historical,1992,2014,-0.07092881647616878,0.0016830907287922773,2,1,1,1,CanESM5:p1:1992:2014:historical,0.41083483218395134,35
161,CanESM5,r2i1p2f1_gn,historical,1992,2014,-0.09465016357341938,0.0016497988253831866,2,1,2,1,CanESM5:p1:1992:2014:historical,0.4493872221331056,35
