,model,p,scenario,startyr,endyr,Tavg,dSdt,model_key,probability_weight
125,EC-Earth3-Veg,1,historical,1850,1900,-1.3220684628331585,0.00018687859177589412,EC-Earth3-Veg:p1:1850:1900:historical,113.97248102016506
126,EC-Earth3-Veg,1,historical,1900,1950,-0.9575471467827584,0.000404459610581398,EC-Earth3-Veg:p1:1900:1950:historical,113.97248102016506
127,EC-Earth3-Veg,1,historical,1950,2000,-0.6350626173507976,0.000677083358168602,EC-Earth3-Veg:p1:1950:2000:historical,113.97248102016506
128,EC-Earth3-Veg,1,historical,1992,2014,-0.07167544548985916,0.0013779149475422773,EC-Earth3-Veg:p1:1992:2014:historical,113.97248102016506
129,EC-Earth3-Veg-LR,1,SSP126,2016,2050,0.6561410782375106,0.0019489364588961887,EC-Earth3-Veg-LR:p1:2016:2050:SSP126,829.0100347058135
130,EC-Earth3-Veg-LR,1,SSP126,2051,2100,1.0054592534640392,0.0011829194061610164,EC-Earth3-Veg-LR:p1:2051:2100:SSP126,499.5746129779094
131,EC-Earth3-Veg-LR,1,SSP245,2016,2050,0.7047114431250634,0.00016994101871900698,EC-Earth3-Veg-LR:p1:2016:2050:SSP245,840.7198665362996
132,EC-Earth3-Veg-LR,1,SSP245,2051,2100,1.743870194196461,0.00018061423788265306,EC-Earth3-Veg-LR:p1:2051:2100:SSP245,291.0098540900074
133,EC-Earth3-Veg-LR,1,SSP585,2016,2050,0.7923292151903071,0.002471923828125,EC-Earth3-Veg-LR:p1:2016:2050:SSP585,821.6233591138483
134,EC-Earth3-Veg-LR,1,SSP585,2051,2100,3.1353950393153696,0.004107624292373657,EC-Earth3-Veg-LR:p1:2051:2100:SSP585,156.3064405252179
135,FGOALS-f3-L,1,SSP126,2016,2050,0.6693756528384256,0.0018693513291723586,FGOALS-f3-L:p1:2016:2050:SSP126,810.7385945730047
136,FGOALS-f3-L,1,SSP126,2051,2100,0.9150046309954404,0.0012314984841006146,FGOALS-f3-L:p1:2051:2100:SSP126,610.9376161400996
137,FGOALS-f3-L,1,SSP585,2016,2050,0.8322146242074382,0.00041707355857771984,FGOALS-f3-L:p1:2016:2050:SSP585,801.1642078835968
138,FGOALS-f3-L,1,SSP585,2051,2100,2.7829819629452004,0.0018181834293871512,FGOALS-f3-L:p1:2051:2100:SSP585,285.09729440447006
139,FGOALS-f3-L,1,historical,1850,1900,-1.0877670296077897,-0.00182861328125,FGOALS-f3-L:p1:1850:1900:historical,285.09729440447006
140,FGOALS-f3-L,1,historical,1900,1950,-0.9310056269383722,-0.001368815004825592,FGOALS-f3-L:p1:1900:1950:historical,285.09729440447006
141,FGOALS-f3-L,1,historical,1950,2000,-0.5852133383938279,-0.001022542342543602,FGOALS-f3-L:p1:1950:2000:historical,285.09729440447006
142,FGOALS-f3-L,1,historical,1992,2014,-0.04601555278094338,-0.0002108487215909091,FGOALS-f3-L:p1:1992:2014:historical,285.09729440447006
143,FGOALS-g3,1,SSP126,2016,2050,0.4640010264159097,0.0004980549051919403,FGOALS-g3:p1:2016:2050:SSP126,776.346141045265
144,FGOALS-g3,1,SSP126,2051,2100,0.5290303134441198,-4.816372074237487e-05,FGOALS-g3:p1:2051:2100:SSP126,452.86026013832674
145,FGOALS-g3,1,SSP245,2016,2050,0.6052066395519661,0.002301384420955882,FGOALS-g3:p1:2016:2050:SSP245,870.7162492493716
146,FGOALS-g3,1,SSP245,2051,2100,1.1870082738879546,0.002423967785981237,FGOALS-g3:p1:2051:2100:SSP245,500.01447771666784
147,FGOALS-g3,1,SSP585,2016,2050,0.6616401608673073,0.0025521071956438176,FGOALS-g3:p1:2016:2050:SSP585,733.0717361855815
148,FGOALS-g3,1,SSP585,2051,2100,2.192942474264328,0.00482260815951289,FGOALS-g3:p1:2051:2100:SSP585,321.1098298255162
149,FGOALS-g3,1,historical,1950,2000,-0.5582987695383963,0.000673828125,FGOALS-g3:p1:1950:2000:historical,321.1098298255162
150,FGOALS-g3,1,historical,1992,2014,-0.07632820193578027,0.0015425248579545455,FGOALS-g3:p1:1992:2014:historical,321.1098298255162
151,FIO-ESM-2-0,1,SSP126,2016,2050,0.7389325305631473,0.001789965648569313,FIO-ESM-2-0:p1:2016:2050:SSP126,682.9689008570055
152,FIO-ESM-2-0,1,SSP126,2051,2100,1.0482047733976667,0.0013501087621766693,FIO-ESM-2-0:p1:2051:2100:SSP126,441.7517654511795
153,FIO-ESM-2-0,1,SSP245,2016,2050,0.8358917844027474,0.0023025811156805825,FIO-ESM-2-0:p1:2016:2050:SSP245,601.0931194567313
154,FIO-ESM-2-0,1,SSP245,2051,2100,1.8386586678250296,0.002720839515024302,FIO-ESM-2-0:p1:2051:2100:SSP245,221.69491021090272
155,FIO-ESM-2-0,1,SSP585,2016,2050,0.9214371822984616,0.002584419925423229,FIO-ESM-2-0:p1:2016:2050:SSP585,687.303988611882
156,FIO-ESM-2-0,1,SSP585,2051,2100,3.2625392996266096,0.0045929995118355275,FIO-ESM-2-0:p1:2051:2100:SSP585,119.297834606498
157,FIO-ESM-2-0,1,historical,1850,1900,-1.1764135636752826,0.00042613640427589415,FIO-ESM-2-0:p1:1850:1900:historical,119.297834606498
158,FIO-ESM-2-0,1,historical,1900,1950,-0.987799897210948,0.000603841133415699,FIO-ESM-2-0:p1:1900:1950:historical,119.297834606498
159,FIO-ESM-2-0,1,historical,1950,2000,-0.5857725678836232,0.000601399764418602,FIO-ESM-2-0:p1:1950:2000:historical,119.297834606498
160,FIO-ESM-2-0,1,historical,1992,2014,-0.05728763274333915,0.0016923384232954545,FIO-ESM-2-0:p1:1992:2014:historical,119.297834606498
161,GFDL-CM4,1,SSP245,2016,2050,0.8249766143850366,0.0016838522518382356,GFDL-CM4:p1:2016:2050:SSP245,625.640880295931
162,GFDL-CM4,1,SSP245,2051,2100,1.8816062129430409,0.0022562249582640977,GFDL-CM4:p1:2051:2100:SSP245,195.68755760512263
163,GFDL-CM4,1,SSP585,2016,2050,0.94642452343453,0.001939362243694417,GFDL-CM4:p1:2016:2050:SSP585,643.3603172644847
164,GFDL-CM4,1,SSP585,2051,2100,3.1459173756302903,0.003637612474207976,GFDL-CM4:p1:2051:2100:SSP585,152.82449992165647
165,GFDL-CM4,1,historical,1850,1900,-0.7184561893076875,0.0002655954286456108,GFDL-CM4:p1:1850:1900:historical,152.82449992165647
166,GFDL-CM4,1,historical,1900,1950,-0.7009949573859444,0.00017415367066860198,GFDL-CM4:p1:1900:1950:historical,152.82449992165647
167,GFDL-CM4,1,historical,1950,2000,-0.5698199534917876,0.000419514961540699,GFDL-CM4:p1:1950:2000:historical,152.82449992165647
168,GFDL-CM4,1,historical,1992,2014,-0.07555497005012057,0.00126416761089455,GFDL-CM4:p1:1992:2014:historical,152.82449992165647
169,GFDL-ESM4,1,SSP126,2016,2050,0.6077209889131154,0.002497055951286765,GFDL-ESM4:p1:2016:2050:SSP126,873.8598161583502
170,GFDL-ESM4,1,SSP126,2051,2100,0.8079829447541442,0.0020369963378322367,GFDL-ESM4:p1:2051:2100:SSP126,687.833405410586
171,GFDL-ESM4,1,SSP245,2016,2050,0.6669517599333972,0.0025598862591911767,GFDL-ESM4:p1:2016:2050:SSP245,871.6537478653761
172,GFDL-ESM4,1,SSP245,2051,2100,1.4098197525913747,0.0031792259946161385,GFDL-ESM4:p1:2051:2100:SSP245,548.9099199098836
173,GFDL-ESM4,1,SSP585,2016,2050,0.7156126918208656,0.002996108111213235,GFDL-ESM4:p1:2016:2050:SSP585,797.5239043508562
174,GFDL-ESM4,1,SSP585,2051,2100,2.4029243347146116,0.0055251352641047255,GFDL-ESM4:p1:2051:2100:SSP585,360.7795003589308
175,GFDL-ESM4,1,historical,1850,1900,-0.6213635437302969,-1.8902383744716643e-05,GFDL-ESM4:p1:1850:1900:historical,360.7795003589308
176,GFDL-ESM4,1,historical,1900,1950,-0.40670381398115296,0.0002921549417078495,GFDL-ESM4:p1:1900:1950:historical,360.7795003589308
177,GFDL-ESM4,1,historical,1950,2000,-0.4321437829392494,0.00026326496154069904,GFDL-ESM4:p1:1950:2000:historical,360.7795003589308
178,GFDL-ESM4,1,historical,1992,2014,-0.0732670057714131,0.00123827379535545,GFDL-ESM4:p1:1992:2014:historical,360.7795003589308
179,GISS-E2-1-G,1,historical,1850,1900,-0.7224793600174735,2.302689105272294e-05,GISS-E2-1-G:p1:1850:1900:historical,0.0
180,GISS-E2-1-G,1,historical,1900,1950,-0.6114178979674932,0.00023152668029069898,GISS-E2-1-G:p1:1900:1950:historical,0.0
181,GISS-E2-1-G,1,historical,1950,2000,-0.4713797052144287,0.000365519218146801,GISS-E2-1-G:p1:1950:2000:historical,0.0
182,GISS-E2-1-G,1,historical,1992,2014,-0.05417967770200107,0.0012709184126420455,GISS-E2-1-G:p1:1992:2014:historical,0.0
183,GISS-E2-1-G-CC,1,historical,1850,1900,-0.8006205076857213,0.0001294315233826637,GISS-E2-1-G-CC:p1:1850:1900:historical,0.0
184,GISS-E2-1-G-CC,1,historical,1900,1950,-0.8235448586343068,0.000168050155043602,GISS-E2-1-G-CC:p1:1900:1950:historical,0.0
185,GISS-E2-1-G-CC,1,historical,1950,2000,-0.5428469767982165,0.000338948555290699,GISS-E2-1-G-CC:p1:1950:2000:historical,0.0
